FABRIC CONTENT,CONCAT_NAME
100% ACRYLIC,100% ACRYLIC
100 COTTON,100% COTTON
100% COTTON,100% COTTON
100% NYLON,100% NYLON
100 % POLYESTER,100% POLYESTER
100 POLYESTER ,100% POLYESTER
100% POLYESTER,100% POLYESTER
100% POLYESTER PLAID,100% POLYESTER
100% POLYESTER PLAID ,100% POLYESTER
50% COTTON 50% POLY,50% COTTON 50% POLYESTER
50% COTTON 50% POLYESTER,50% COTTON 50% POLYESTER
50% POLYESTER 25% ACRYLIC 25% RAYON,50/25/25 POLY/RAYON/ACRYLIC 
50/25/25 POLYRAYON ACRYLIC ,50/25/25 POLY/RAYON/ACRYLIC 
50POLY/ 25ACRYLIC/ 25RAYON ,50/25/25 POLY/RAYON/ACRYLIC 
55% COTTON 45% POLY,55% COTTON 45% POLY
55/45 COTTONPOLY SOLID,55% COTTON 45% POLY
57% COMBED COTTON 40% POLYESTER 3% LYCRA,57% COTTON 40% POLY 3% LYCRA
60% COTTON 40% POLY,60% COTTON 40% POLY
60% COTTON 40% POLYESTER,60% COTTON 40% POLY
60% COTTON/40% POLYESTER,60% COTTON 40% POLY
60% POLYESTER 40% COMBED COTTON,60% COTTON 40% POLY
60% POLYESTER 40% COTTON,60% COTTON 40% POLY
60%WOOL/40%POLY,60% COTTON 40% POLY
60/40 COTTONPOLY OXFORD,60% COTTON 40% POLY
60/40 POLYRAYON ,60% POLY 40% RAYON
60/40 POLYRAYON SOLID,60% POLY 40% RAYON
65 POLY 35 RAYON,65% POLY 35% RAYON
65% COTTON/35% POLYESTER,65% POLY 35% COTTON
65% POLY 35% COTTON,65% POLY 35% COTTON
65% POLYESTER 35% COMBED COTTON,65% POLY 35% COTTON
65% POLYESTER 35% COTTON,65% POLY 35% COTTON
65% POLYESTER 35% COTTON ,65% POLY 35% COTTON
65%POLY/35%COTT,65% POLY 35% COTTON
65/35,65% POLY 35% COTTON
65/35 POLY/COTTON,65% POLY 35% COTTON
65/35 POLYCOTTON ,65% POLY 35% COTTON
65/35 POLYCOTTON BROADCLOTH ,65% POLY 35% COTTON
65/35 POLYCOTTON PLAID,65% POLY 35% COTTON
65/35 POLYCOTTON POPLIN,65% POLY 35% COTTON
65/35 POLYCOTTON POPLIN ,65% POLY 35% COTTON
65/35 POLYRAYON ,65% POLY 350% RAYON
70% POLYESTER/30% WOOL,70% POLYESTER 30% WOOL
75% COTTON 25% POLYESTER,75% COTTON 25% POLY
75/25 POLYCOTTON ,75% POLY 25% COTTON
75/25 POLYCOTTON PINFEATHER,75% POLY 25% COTTON
75/25 POLYCOTTON PINFEATHER ,75% POLY 25% COTTON
90% COTTON/10% POLYESTER,90% COTTON 10% POLY
90% COTTON/10% SPANDEX,90% COTTON 10% SPANDEX
97% COTTON 3% SPANDEX,97% COTTON 3% SPANDEX
97%COTT/3%LYCRA,97% COTTON 3% SPANDEX
97COTTON/3SPANDEX,97% COTTON 3% SPANDEX
CUSTOM,CUSTOM
FLANNEL,FLANNEL
LEATHER,LEATHER
MISC,MISC
NONE,NONE
NYLON,NYLON
POLYCOTTON,POLYCOTTON
POLYESTER,POLYESTER
WOOL,WOOL
