SCHOOL CODE,DESIGN #,school name
000002,000000,MISSING
000003,S 2375,MISSING
000121,2171B7861,TRINITY CHRISTIAN ACADEMY 
000121,2171B7862,TRINITY CHRISTIAN ACADEMY 
000121,2171B7863,TRINITY CHRISTIAN ACADEMY 
000121,2171B7864,TRINITY CHRISTIAN ACADEMY 
000121,2171B7865,TRINITY CHRISTIAN ACADEMY 
000121,2171B7866,TRINITY CHRISTIAN ACADEMY 
000121,2171B7867,TRINITY CHRISTIAN ACADEMY 
000121,2171B7868,TRINITY CHRISTIAN ACADEMY 
000121,2171B7869,TRINITY CHRISTIAN ACADEMY 
000121,2171B7990,TRINITY CHRISTIAN ACADEMY 
000121,2171B7991,TRINITY CHRISTIAN ACADEMY 
000121,2171B7992,TRINITY CHRISTIAN ACADEMY 
000121,E121A1,TRINITY CHRISTIAN ACADEMY  - TX-121
000121,E121B1,TRINITY CHRISTIAN ACADEMY  - TX-121
000121,E121B2,TRINITY CHRISTIAN ACADEMY  - TX-121
000128,P128,SHELTON UPPER ELEM(3-5)/MIDDLE(6-8) 
000143,000000,ST. ANTHONY SCHOOL  - TX-143
000143,2171B1269,ST. ANTHONY SCHOOL 
000143,2171B1270,ST. ANTHONY SCHOOL 
000143,2171B1271,ST. ANTHONY SCHOOL 
000143,2171B1361,ST. ANTHONY SCHOOL 
000143,2171B1362,ST. ANTHONY SCHOOL 
000143,2171B3638,ST. ANTHONY SCHOOL 
000143,2171B3639,ST. ANTHONY SCHOOL 
000143,2171B8018,ST. ANTHONY SCHOOL 
000143,2171B8019,ST. ANTHONY SCHOOL 
000143,2171B8020,ST. ANTHONY SCHOOL 
000143,2171B8021,ST. ANTHONY SCHOOL 
000143,E143A1,ST. ANTHONY SCHOOL  - TX-143
000145,2171B7622,ST. MONICA CATHOLIC SCHOOL 
000145,2171B7623,ST. MONICA CATHOLIC SCHOOL 
000145,2171B8930,ST. MONICA CATHOLIC SCHOOL 
000145,2171B8931,ST. MONICA CATHOLIC SCHOOL 
000145,E145A1,ST. MONICA CATHOLIC SCHOOL  - TX-145
000145,S 145,ST. MONICA CATHOLIC SCHOOL 
000154,000000,Imani School for Young Children
000154,000000,IMANI SCHOOL FOR YOUNG CHILDREN  - TX-154
000154,E154A1,IMANI SCHOOL FOR YOUNG CHILDREN  - TX-154
000154,MISSING,IMANI SCHOOL FOR YOUNG CHILDREN  - TX-154
000164,2171B8036,ST. ROSE OF LIMA SCHOOL 
000164,2171B8037,ST. ROSE OF LIMA SCHOOL 
000164,2171B8548,ST. ROSE OF LIMA SCHOOL 
000164,2171B8549,ST. ROSE OF LIMA SCHOOL 
000164,E164A1,ST. ROSE OF LIMA SCHOOL  - TX-164
000203,2171B1667,ST. MARYS EPISCOPAL SCHOOL 
000203,2171B1668,ST. MARYS EPISCOPAL SCHOOL 
000203,E203B1,ST. MARYS EPISCOPAL SCHOOL  - OK-203
000208,ELM,ST. AUGUSTINE HIGH SCHOOL  - TX-208
000209,2171B8732,ST. JOSEPH 
000209,2171B8863,ST. JOSEPH 
000209,2171B8864,ST. JOSEPH 
000209,2171B8865,ST. JOSEPH 
000209,2171B8866,ST. JOSEPH 
000209,E209A1,ST. JOSEPH  - TX-209
000209,S 209,ST. JOSEPH 
000211,2171B3455,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B8178,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B8179,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B8180,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B8181,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B8182,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B8183,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B8852,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B8853,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B9046,ST. LOUIS CATHOLIC SCHOOL 
000211,2171B9047,ST. LOUIS CATHOLIC SCHOOL 
000211,E211A1,ST. LOUIS CATHOLIC SCHOOL  - TX-211
000211,E211A2,ST. LOUIS CATHOLIC SCHOOL  - TX-211
000211,S 211,ST. LOUIS CATHOLIC SCHOOL 
000212,000000,Discontinued Account - TX-000000
000212,000000,MISSING
000212,P212,NONE
000216,S 216,OUR LADY OF REFUGE SCHOOL 
000226,2171B7824,ST. EDWARD SCHOOL 
000226,2171B7825,ST. EDWARD SCHOOL 
000226,2171B7984,ST. EDWARD SCHOOL 
000226,2171B7985,ST. EDWARD SCHOOL 
000226,E226A1,ST. EDWARD SCHOOL  - TX-226
000228,2171B3202,NOTRE DAME SCHOOL 
000228,2171B8308,NOTRE DAME SCHOOL 
000228,2171B8309,NOTRE DAME SCHOOL 
000228,ELM,NOTRE DAME SCHOOL  - TX-228
000228,LM228,NOTRE DAME SCHOOL  - TX-228
000246,2171B1035,ST. ANNE SCHOOL 
000246,2171B1036,ST. ANNE SCHOOL 
000246,2171B1037,ST. ANNE SCHOOL 
000246,2171B1038,ST. ANNE SCHOOL 
000246,2171B1047,ST. ANNE SCHOOL 
000246,2171B3217,ST. ANNE SCHOOL 
000246,2171B3232,ST. ANNE SCHOOL 
000246,2171B3425,ST. ANNE SCHOOL 
000246,2171B3426,ST. ANNE SCHOOL 
000246,2171B3427,ST. ANNE SCHOOL 
000246,2171B3428,ST. ANNE SCHOOL 
000246,2171B3524,ST. ANNE SCHOOL 
000246,2171B3525,ST. ANNE SCHOOL 
000246,2171B8719,ST. ANNE SCHOOL 
000246,2171B8720,ST. ANNE SCHOOL 
000246,246B1,ST. ANNE SCHOOL  - TX-246
000246,E246A1,ST. ANNE SCHOOL  - TX-246
000246,MISSING,ST. ANNE SCHOOL  - TX-246
000251,000000,MISSING
000254,000000,MISSING
000259,2171B1438,SACRED HEART SCHOOL 
000259,2171B1439,SACRED HEART SCHOOL 
000259,2171B3629,SACRED HEART SCHOOL 
000259,2171B3630,SACRED HEART SCHOOL 
000259,2171B8729,SACRED HEART SCHOOL 
000259,2171B8730,SACRED HEART SCHOOL 
000259,2171B8731,SACRED HEART SCHOOL 
000259,E259A1,SACRED HEART SCHOOL  - TX-259
000261,E261A1,OUR LADY OF PERPETUAL HELP ACADEMY  - TX-261
000261,E261A2,OUR LADY OF PERPETUAL HELP ACADEMY  - TX-261
000261,E3190A2,OUR LADY OF PERPETUAL HELP ACADEMY  - TX-261
000262,E-3098A1,MISSING
000263,S 263,OUR LADY OF GUADALUPE 
000264,2171B8088,ST. MARYS SCHOOL 
000264,2171B8089,ST. MARYS SCHOOL 
000264,2171B8090,ST. MARYS SCHOOL 
000264,2171B8091,ST. MARYS SCHOOL 
000264,2171B8092,ST. MARYS SCHOOL 
000264,2171B8093,ST. MARYS SCHOOL 
000264,264A1,ST. MARYS SCHOOL 
000273,P273,NONE
000280,000000,MISSING
000282,2171B3270,ALLEN ACADEMY
000282,2171B3276,ALLEN ACADEMY
000282,2171B3277,ALLEN ACADEMY
000282,2171B3278,ALLEN ACADEMY
000282,2171B3286,ALLEN ACADEMY
