Size Group,Description
ADT,Adult
BBR,Big Boys Regular
BBS,Big Boys Slim
BGR,Big Girls Regular
BGS,Big Girls Slim
BLT,Belt
BYH,Boys Husky
BYR,Boys Regular
FTB,Footwear Boys
FTG,Footwear Girls
FTL,Footwear Ladies
FTM,Footwear Mens
FTU,Footwear Unisex
GRH,Girls Half Size
GRL,Girls
HAT,Hat sizes
JNR,Junior
LBR,Little Boys Regular
LBS,Little Boys Slim
LGR,Little Girls Regular
LGS,Little Girls Slim
MEN,Mens
NOS,No Size
PRP,Prep
PTD,Pre-tied Tie
SCK,Sock sizes
SML,SML
STD,Self-tied Tie
TOD,Toddler
YTH,Youth
